method,aesthetic_score_mean,aesthetic_score_std,clip_score_mean,clip_score_std
DAS-AG+,6.15546875,0.3115023136450996,0.17445068359375,0.03692799461685849
DAS-AG,5.25859375,0.47262719435486367,0.2499267578125,0.027372290838649498
DAS,3.5140625,0.17156065892967073,0.343896484375,0.012636016873378902
DAS-rAG,0.4121337890625,0.12509969073866467,0.26884765625,0.02653304317961085
DAS-rAG+,-0.5544921875,0.5240766523130167,0.237060546875,0.03447314037815148
