method,file_hash,aesthetic_score,pos_clip_score,neg_clip_score
das_ag,a366af85c690c1f7c604627ba3df538f4c887ebdf7aaf09f85f279d3a7389e91,4.859375,0.26416015625,-0.04034423828125
das,f8aa7979844d755e4920a3fcc09d536b608d304e020b663894e9470d2008245a,3.67578125,0.3583984375,-0.03765869140625
das_rag,e6ffb8a567ace8e5a2124f47dfb090ce01a1993f599874b89cef3763caae9e1e,0.2235107421875,0.28466796875,-0.0296783447265625
das_ag_plus,39afea490306c5fb341828120fa8bf6a7b075a793c9e19c3bfdf86cc2b21655c,5.66015625,0.1898193359375,-0.041778564453125
das_rag_plus,54fd604977eabdbd82f6643256e063c4cb80d168a65d4addd5bcad6405122d4b,-0.8544921875,0.23486328125,-0.03314208984375
das_ag,8c90a35a12db1f29ef19c3bb9093f4748143958adbcc99e64612500290d16444,4.796875,0.2332763671875,-0.047271728515625
das,f8fd0beeb089807c9c128b2fadfdbf4a1ed565ed9eced70f27b6e0f72f5b1195,3.498046875,0.33154296875,-0.0587158203125
das_rag,cd7a1122db6efc6d44ea14850995da127514347dfd1b6e0cc0efa4e03d258239,0.51123046875,0.2802734375,-0.025360107421875
das_ag_plus,8cbc00ac9eb4e0d7673ec62c1a29abdeb4391df3b4e96c0cdcd2f363adf189da,6.4140625,0.11016845703125,-0.0292510986328125
das_rag_plus,ddd4e1b85e157f6f54c6b60730374dcf76c7cdb77f7ac90c2926c4a38729df83,-0.361083984375,0.294921875,0.001068115234375
das_ag,7be2e548da68152dd3e0ec7d43651459944327c995ecab0f20e44f5a49eefe4b,5.34375,0.267822265625,-0.0523681640625
das,1bdc0480a18637288d8af846691b26b252aeda8e978c5111949a5aa6a23c2e57,3.556640625,0.356689453125,-0.025421142578125
das_rag,b114be891f6dbd2864b1daa5809265a103ba43deee77d4e3669bb1748f9f32ca,0.472412109375,0.28125,-0.025909423828125
das_ag_plus,0feb75f1803e02754407bb74f3c8463c6035a7d1a3206865f5b7812a36b3c81c,6.4140625,0.1798095703125,-0.04071044921875
das_rag_plus,1684fa9ad2785ae048f349a204cf0c187c28b37fda318d2fbefe4670fcf2e78b,-1.15625,0.208251953125,-0.0309600830078125
das_ag,fb32e455c1804b607939877539dda3dd4cca23a6deaae254269a16687786a04a,5.97265625,0.2099609375,-0.04217529296875
das,0541cf61e7f7237e8912c84b8d2c5eff0a5469b2198b84ea33ff276156765b1e,3.23046875,0.3359375,-0.0540771484375
das_rag,17e3ee0a08668f8a047c8da4e1f3941158e40dc9edcb0dc61701d43368598c87,0.5078125,0.2216796875,-0.038238525390625
das_ag_plus,f889b017586e343cd9738ad2def528ef255edf4e203aff11f7e17f62c9dbe31f,6.2109375,0.1888427734375,-0.03338623046875
das_rag_plus,088f45d4c1390a576e118c6dd6dc68e43e74b911ebed96705640a0bd9909220c,-0.62353515625,0.23388671875,-0.01052093505859375
das_ag,3c997fb7f6e7ae65afbc00c29daab0a52cc0231bddfe55e156dfc520a002f7bf,5.3203125,0.2744140625,-0.032012939453125
das,3063ef8b65384790791ec75973d705b4f0548ef140379b30935f7b5c60e942ae,3.609375,0.3369140625,-0.04949951171875
das_rag,095849194b98f6adebbc8e4ca26875a4fca2c897b89a4ff89deb53607aaac581,0.345703125,0.2763671875,-0.01537322998046875
das_ag_plus,c7cc20152ff519dd53b8faf206d606a95ef049b82324a51abc16d2b8f330654e,6.078125,0.20361328125,-0.0384521484375
das_rag_plus,49f0ac4487b00326ec3fb67195ea82a42c4e0ae2dc07297a02aee6d83b0d368b,0.222900390625,0.21337890625,-0.003337860107421875
